use,year_built,heated_sqft,site_address,city,zip,owner,owner_addr1,owner_addr2,owner_addr3,assessed_value,pin
HR OFFC,1991,490100.0,434 FAYETTEVILLE ST,RALEIGH,27601,PHOENIX LIMITED PARTNERSHIP OF RAL ,BABAK SOTOODEH,5 HUTTON CENTRE DR STE 860,SANTA ANA CA 92707-8725,73698799,1703667978
HR OFFC,1999,479046.0,8529 SIX FORKS RD,RALEIGH,27615,HIGHWOODS DLF FORUM LLC ,150 FAYETTEVILLE ST STE 1400,RALEIGH NC 27601-2956,,33097521,1708305836
OFC GROSS,1996,454838.0,1100 CORPORATE CENTER DR,RALEIGH,27607,1100 CORPORATE CENTER DRIVE LLC ,532 GOVERNOR MORRISON ST STE 201,CHARLOTTE NC 28211-3372,,50405258,0774866422
HR OFFC,1987,443347.0,1001 WINSTEAD DR,CARY,27513,BRI 1879 WESTON I LLC ,FLANAGAN BILTON  ATT: SPERO KOPITAS,1 N LA SALLE ST STE 2100,CHICAGO IL 60602-3918,32577042,0765471857
NURSG HM,1993,439439.0,4000 GLENAIRE CIR,CARY,27511,GLENAIRE INC ,2109 SANDY RIDGE RD,COLFAX NC 27235-9608,,124316516,0763377533
OFC GROSS,1998,425972.0,8001 DEVELOPMENT DR,,27560,"DEVELOPMENT DRIVE MORRISVILLE, LP ",ATTN: MARTIN J CAWLEY,1251 AVENUE OF THE AMERICAS FL 35,NEW YORK NY 10020-0083,68174346,0736690741
HR OFFC,1985,395760.0,421 FAYETTEVILLE ST,RALEIGH,27601,HIGHWOODS REALTY LIMITED PARTNERSHIP LIMITED PARTN ,150 FAYETTEVILLE ST STE 1400,RALEIGH NC 27601-2956,,74853462,1703761946
OFC GROSS,1995,379066.0,1034 BRAGG ST,RALEIGH,27610,NORTH CAROLINA STATE OF ,STATE PROPERTY OFFICE,116 W JONES ST,RALEIGH NC 27603-1335,110363022,1713227709
OFC GROSS,1986,370651.0,100 E TRYON RD,RALEIGH,27603,FIRST CITIZENS BANK & TRUST CO ,COLD RIVER LAND  LLC,PO BOX 2249,CUMMING GA 30028-6501,59909134,1702700167
OFC GROSS,1984,366313.0,1500 SAWMILL RD,RALEIGH,27615,AMMONS INC ,SPRINGMOOR INC FINANCE DEPT,812 SPRINGMOOR DR,RALEIGH NC 27615-7739,39979681,0797661811
HR OFFC,1991,349950.0,3200 BEECHLEAF CT,RALEIGH,27604,BEECHLEAF 3200 LLC GALLERIA TIC OWNER LLC,964 HIGH HOUSE RD # 4305,CARY NC 27513-3574,,28542515,1715630873
SCHOOL,1999,327535.0,123 MIDDLE CREEK PARK AVE,CARY,27539,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,81972704,0679170678
SCHOOL,1978,314623.0,1420 ATHENS DR,RALEIGH,27606,WAKE COUNTY BOARD OF EDUCATION ,REAL ESTATE SERVICES,111 CORNING RD STE 100,CARY NC 27518-9299,72108109,0783543760
OFC GROSS,2000,312240.0,5200 PARAMOUNT PKWY,MORRISVILLE,27560,RALEIGH 1 LP LIMITED PARTNERSHIP ,ASCENDAS LAND INTERNATIONAL PTE LTD,3020 CARRINGTON MILL BLVD STE 425,MORRISVILLE NC 27560-5434,59790762,0746885661
HR OFFC,2001,308799.0,4140 PARKLAKE AVE,RALEIGH,27612,HIGHWOODS REALTY LP ,150 FAYETTEVILLE ST STE 1400,RALEIGH NC 27601-2956,,33775060,0795295504
HR OFFC,2000,296313.0,3008 BEECHLEAF CT,RALEIGH,27604,TRUIST BANK ,PO BOX 167,WINSTON SALEM NC 27102-0167,,31009295,1715547125
OFC GROSS,2001,291597.0,1225 CRESCENT GREEN,CARY,27518,CL CARY LLC ,HLM REALTY LLC,455 TARRYTOWN RD STE 1573,WHITE PLAINS NY 10607-1313,52480873,0762318127
OFC GROSS,1995,286343.0,7025 KIT CREEK RD,,27560,CISCO SYSTEMS INC ,PROPERTY TAX ALLIANCE,PO BOX 311746,NEW BRAUNFELS TX 78131-1746,46041021,0736859805
SCHOOL,1997,276494.0,2600 ROCK QUARRY RD,RALEIGH,27610,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,59576640,1712763137
MED OFC GROSS,2005,270912.0,8300 HEALTH PARK,RALEIGH,27615,RALEIGH 8300 MP WRK7 L.P. LIMITED PARTNERSHIP ,REMEDYMEDICAL PROPERTIES INC,800 W MADISON ST STE 400,CHICAGO IL 60607-2481,37626196,1708110136
HR OFFC,1998,266959.0,2501 BLUE RIDGE RD,RALEIGH,27607,ATRIUM AT BLUE RIDGE LLC THE ,C/O BLUE RIDGE REALTY INC,2501 BLUE RIDGE RD STE 280,RALEIGH NC 27607-6367,27229437,0785710619
HR OFFC,2000,266191.0,2301 SUGAR BUSH RD,RALEIGH,27612,CRABTREE OVERLOOK OFFICE LLC ,FOUNDRY COMMERCIAL,2301 SUGAR BUSH RD STE 220,RALEIGH NC 27612-2956,28720325,0796622442
OFC GROSS,1997,264295.0,11000 WESTON PKWY,CARY,27513,HIGHWOODS REALTY LTD PTNRP LTD PTNRP ,150 FAYETTEVILLE ST STE 1400,RALEIGH NC 27601-2956,,53965984,0755865552
SCHOOL,2004,263074.0,100 HORTON RD,KNIGHTDALE,27545,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,54021959,1755501315
SCHOOL,1999,263023.0,2500 CARPENTER UPCHURCH RD,CARY,27519,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,77839939,0734985018
SCHOOL,2004,257946.0,6770 MCCRIMMON PKWY,CARY,27519,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,68859851,0735278154
HOSPITAL,2001,255600.0,10000 FALLS OF NEUSE RD,RALEIGH,27614,WAKEMED PROPERTY SERVICES ,ATTN: CORPORATE ACCOUNTING,3000 NEW BERN AVE,RALEIGH NC 27610-1231,84353478,1718952829
OFC GROSS,1990,248667.0,2001 EVANS RD,CARY,27513,COPPER III 2021 LLC ,301 COMMERCE ST STE 3300,FORT WORTH TX 76102-4133,,30769107,0755748400
OFC GROSS,1999,247392.0,7025 KIT CREEK RD,,27560,CISCO SYSTEMS INC ,PROPERTY TAX ALLIANCE INC,PO BOX 311746,NEW BRAUNFELS TX 78131-1746,39217631,0736668193
SCHOOL,1999,242305.0,940 REEDY CREEK RD,CARY,27513,WAKE COUNTY BOARD OF EDUCATION FACILITIES BUILDING,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,68961277,0765807841
SCHOOL,2003,242251.0,950 HOLLY SPRINGS RD,HOLLY SPRINGS,27540,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,56471878,0659437194
HR OFFC,1985,240173.0,8601 SIX FORKS RD,RALEIGH,27615,HIGHWOODS DLF FORUM LLC ,150 FAYETTEVILLE ST STE 1400,RALEIGH NC 27601-2956,,20216090,1708219480
LABRATRY,1981,237537.0,1001 AIRPORT BLVD,MORRISVILLE,27560,STITCH OWNER LLC ,RELATED FUND MGT,30 HUDSON YARDS,NEW YORK NY 10001-2170,145962542,0756382750
OFC GROSS,1995,233513.0,7001 DEVELOPMENT DR,,27560,"DEVELOPMENT DRIVE MORRISVILLE, LP ",ATTN: MARTIN J CAWLEY,1251 AVENUE OF THE AMERICAS FL 35,NEW YORK NY 10020-0083,45728734,0736790977
SCHOOL,2003,232734.0,3500 ROGERS RD,WAKE FOREST,27587,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,56038341,1840405222
OFC GROSS,1997,225333.0,1500 N HARRISON AVE,CARY,27513,CARY ACADEMY ,1500 N HARRISON AVE,CARY NC 27513-5549,,54615734,0765837323
SCHOOL,1998,225173.0,5018 DILLARD DR,RALEIGH,27606,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,54952934,0782290419
OFC GROSS,1998,224850.0,3900 PARAMOUNT PKWY,MORRISVILLE,27560,3900 PARAMOUNT PKWY OWNER LLC ,OPC ACQUISITIONS LLC,15921 VENTURA BLVD STE 690,ENCINO CA 91436-2702,38959531,0756060479
OFC GROSS,1987,221791.0,901 CORPORATE CENTER DR,RALEIGH,27607,NC ADMINISTRATIVE OFFICE OF THE COURTS THE ,901 CORPORATE CENTER DR,RALEIGH NC 27607-5045,,40427119,0774647662
CHURCH,1980,220772.0,2721 E MILLBROOK RD,RALEIGH,27604,CROSSROADS FELLOWSHIP CHURCH ,2721 E MILLBROOK RD,RALEIGH NC 27604-2811,,30145826,1726157086
MULT TEN,2001,217824.0,120 S WILMINGTON ST,RALEIGH,27601,FIRST UNION NATIONAL BANK OF N C ,HIGHWOODS PROPERTIES INC,150 FAYETTEVILLE ST STE 1400,RALEIGH NC 27601-2956,36982834,1703781685
SCHOOL,2001,216372.0,7300 PERRY CREEK RD,RALEIGH,27616,NORTH RALEIGH CHRISTIAN ACADEMY INC ,7300 PERRY CREEK RD,RALEIGH NC 27616-6440,,50694162,1737555705
LABRATRY,1981,213607.0,4020 AJINOMOTO DR,RALEIGH,27610,AJINOMOTO NORTH AMERICA INC ,4020 AJINOMOTO DR,RALEIGH NC 27610-2911,,24637928,1723962582
SCHOOL,1998,211387.0,5312 TRINITY RD,RALEIGH,27607,CARDINAL GIBBONS MEMORIAL HIGH SCHOOL ,1401 EDWARDS MILL RD,RALEIGH NC 27607-3616,,87321858,0784073155
OFC GROSS,1984,210050.0,405 GREGSON DR,CARY,27511,LORD CORPORATION ,C/O TAX DEPARTMENT,6035 PARKLAND BLVD,CLEVELAND OH 44124-4186,30339513,0752601827
SCHOOL,1993,209936.0,2101 DAVIS DR,CARY,27519,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,53902803,0743483431
OFC GROSS,1987,209472.0,4401 BLAND RD,RALEIGH,27609,RALEIGH NC I FGF LLC ,ERIC DOWLING,1 N WACKER DR STE 4025,CHICAGO IL 60606-2844,28550052,1716319406
SCHOOL,1975,209191.0,1501 LAURA DUNCAN RD,APEX,27502,COUNTY OF WAKE ,C/O SCOTT W WARREN,PO BOX 550,RALEIGH NC 27602-0550,46745856,0742769296
OFC GROSS,2001,204914.0,3000 CENTREGREEN WAY,CARY,27513,HIGHWOODS REALTY LP ,150 FAYETTEVILLE ST STE 1400,RALEIGH NC 27601-2956,,26773649,0765067381
SCHOOL,1991,201269.0,4500 WEST LAKE RD,CARY,27539,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,45800707,0679056467
OFC GROSS,1986,198200.0,225 HILLSBOROUGH ST,RALEIGH,27603,CAMPBELL UNIVERSITY INC ,ATTN: ROBERT C COGSWELL JR,PO BOX 116,BUIES CREEK NC 27506-0116,44790826,1703599044
HR OFFC,1995,197298.0,8609 SIX FORKS RD,RALEIGH,27615,HIGHWOODS DLF FORUM LLC ,150 FAYETTEVILLE ST STE 1400,RALEIGH NC 27601-2956,,16731289,1708312700
HR OFFC,1999,195398.0,701 SAS CAMPUS DR,CARY,27513,SAS INSTITUTE INC ,ATTN: ERIN SHARP,100 SAS CAMPUS DR,CARY NC 27513-2414,33840542,0775344657
HR OFFC,1990,193634.0,4011 WESTCHASE BLVD,RALEIGH,27607,F7 WEST LLC ,THE BROOKDALE GROUP,3455 PEACHTREE RD NE STE 300,ATLANTA GA 30326-4234,16474033,0784664762
HR OFFC,1988,189926.0,8521 SIX FORKS RD,RALEIGH,27615,HIGHWOODS DLF FORUM LLC ,150 FAYETTEVILLE ST STE 1400,RALEIGH NC 27601-2956,,16001274,1708301836
HR OFFC,1993,187987.0,7000 WESTON PKWY,CARY,27513,MCI WORLDCOM NETWORK SERVICES INC ,1133 19TH ST NW # 503,WASHINGTON DC 20036-3604,,43604424,0765178430
OFC GROSS,1996,184040.0,701 CORPORATE CENTER DR,RALEIGH,27607,HRLP RALEIGH LP LTD PTNRP ,150 FAYETTEVILLE ST STE 1400,RALEIGH NC 27601-2956,,27799426,0774638382
HR OFFC,2000,184037.0,720 SAS CAMPUS DR,CARY,27513,SAS INSTITUTE INC ,ATTN: ERIN SHARP,100 SAS CAMPUS DR,CARY NC 27513-2414,35320165,0775239718
OFC GROSS,1999,179606.0,4700 FALLS OF NEUSE RD,RALEIGH,27609,US REIF 4700 FALLS NC LLC ,INTERCONTINENTAL REAL ESTATE CORP,1270 SOLDIERS FIELD RD,BOSTON MA 02135-1003,26649313,1716425974
HR OFFC,1989,178892.0,4101 LAKE BOONE TRL,RALEIGH,27607,SUMMIT AT LAKE BOONE LLC THE ,CAPITAL ASSOCIATES,1501 SUNRISE AVE STE 100,RALEIGH NC 27608-2689,19737297,0785912507
HR OFFC,1985,176886.0,4800 FALLS OF NEUSE RD,RALEIGH,27609,ONG 4800 FALLS OF NEUSE LLC ,2509 VICTORIA PARK LN,RALEIGH NC 27614-6858,,24603376,1716435438
HR OFFC,1984,170440.0,4601 SIX FORKS RD,RALEIGH,27609,EVN LANDMARK LLC ,3105 GLENWOOD AVE STE 105,RALEIGH NC 27612-5059,,27037720,1706513889
HR OFFC,1984,169950.0,3100 SMOKETREE CT,RALEIGH,27604,DP SMOKETREE LLC ,DEBNAM PROPERTY MANAGEMENT LLC,2900 HIGHWOODS BLVD STE 200,RALEIGH NC 27604-1036,25343116,1715635164
SCHOOL,2004,169116.0,0 BLAIR DR,RALEIGH,27606,NORTH CAROLINA STATE OF ,STATE PROPERTY OFFICE,116 W JONES ST,RALEIGH NC 27603-1335,67836525,0793658861
OFC GROSS,2001,166132.0,2000 EVANS RD,CARY,27513,JOHN DEERE COMMERCIAL & CONSUMER EQUIPMENT DIVISION OF DEERE & CO,GENERAL LEDGER SS SUPERVISOR,3400 80TH ST,MOLINE IL 61265-5884,37031533,0755848591
HR OFFC,1999,165600.0,3301 BENSON DR,RALEIGH,27609,ONE REN LLC ,PO BOX 17566,RALEIGH NC 27619-7566,,30985301,1715168947
HR OFFC,1986,164990.0,5511 CAPITAL CENTER DR,RALEIGH,27606,CAP CENTER LLC ,PO BOX 31763,RALEIGH NC 27622-1763,,24379300,0783046376
FLEX WHSE,1987,162005.0,2200 GATEWAY CENTRE BLVD,CARY,27560,CPVF IV 2200-3800 GATEWAY LLC ,1301 S MOPAC EXPY STE 125,AUSTIN TX 78746-7085,,33967613,0756833661
SCHOOL,2003,161685.0,109 N ENNIS ST,FUQUAY-VARINA,27526,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,33026353,0666182482
OFC GROSS,1975,161487.0,4401 CREEDMOOR RD,RALEIGH,27612,STATE EMPLOYEES' CREDIT UNION ,119 N SALISBURY ST,RALEIGH NC 27603-1739,,29899939,0796218350
SCHOOL,2005,161446.0,1701 RIDGE RD,RALEIGH,27607,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,46756078,0795208717
HR OFFC,1984,161130.0,2000 REGENCY PKWY,CARY,27518,ALIDADE REGENCY 2000 LLC ,40900 WOODWARD AVE STE 250,BLOOMFIELD HILLS MI 48304-5119,,28985001,0762222478
SCHOOL,1985,161082.0,400 E WILLIAMS ST,APEX,27502,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,28781816,0741593016
OFC GROSS,1982,160505.0,2700 WYCLIFF RD,RALEIGH,27607,CPGJRC WYCLIFF ROAD LLC ,FLANAGAN BILTON  ATT: SPERO KOPITAS,1 N LA SALLE ST STE 2100,CHICAGO IL 60602-3918,31813420,0795139316
SCHOOL,2003,157686.0,6150 OLD JENKS RD,APEX,27523,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,46939779,0743414096
SCHOOL,1975,157049.0,3801 SPRING FOREST RD,RALEIGH,27616,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,32143987,1726578127
SCHOOL,1999,156156.0,6051 TRYON RD,CARY,27518,SHEPHERDS CHURCH OF CARY INC ,6051 TRYON RD,CARY NC 27518-9316,,54902581,0772653914
OFC GROSS,1976,154367.0,8500 BATTLE BRIDGE RD,,27610,RALEIGH CITY OF ,PUBLIC UTILITIES ADMIN,PO BOX 590,RALEIGH NC 27602-0590,114240868,1751047213
OFC GROSS,1982,154008.0,5601 SIX FORKS RD,RALEIGH,27609,"SIX FORKS OFFICE, LLC ",1650 TYSONS BLVD STE 1500,MC LEAN VA 22102-4845,,17691315,1706673346
HR OFFC,1998,153906.0,1000 ST ALBANS DR,RALEIGH,27609,COASTAL FEDERAL CREDIT UNION ,PO BOX 58429,RALEIGH NC 27658-8429,,37990667,1715280163
SCHOOL,1993,153099.0,6301 JONES SAUSAGE RD,GARNER,27529,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,22425713,1721303343
CHURCH,1980,151838.0,4815 E SIX FORKS RD,RALEIGH,27609,TRINITY BAPTIST CHURCH OF RALEIGH ,4815 SIX FORKS RD,RALEIGH NC 27609-5205,,26172206,1706530387
SCHOOL,1983,151786.0,11401 LEESVILLE RD,RALEIGH,27613,SAINT FRANCIS OF ASSISI CATHOLIC PARISH OF RALEIGH ,11401 LEESVILLE RD,RALEIGH NC 27613-5954,,36604696,0778790465
SCHOOL,1995,147275.0,10401 DURANT RD,RALEIGH,27614,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,33139224,1728139814
SCHOOL,1984,146215.0,1002 LUFKIN RD,APEX,27539,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,26038985,0751062892
HR OFFC,1983,144998.0,8000 REGENCY PKWY,CARY,27518,ALIDADE REGENCY 8000 LLC ,40900 WOODWARD AVE STE 250,BLOOMFIELD HILLS MI 48304-5119,,23212747,0762104644
SCHOOL,1975,144713.0,1115 SE MAYNARD RD,CARY,27511,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,24892650,0763995109
OFC GROSS,1997,143713.0,5150 MCCRIMMON PKWY,MORRISVILLE,27560,HUMPHREYS DC ASSETS LP LIMITED PARTNERSHIP ,PO BOX 20197,ATLANTA GA 30325-0197,,20914212,0756046227
HR OFFC,1993,142776.0,220 SWINBURNE ST,RALEIGH,27610,WAKE COUNTY ,WAKE COUNTY ATTORNEY'S OFFICE,PO BOX 550,RALEIGH NC 27602-0550,29561553,1723296034
OFC GROSS,2005,141590.0,5410 TRINITY RD,RALEIGH,27607,ALIDADE PALISADES II LLC ,40900 WOODWARD AVE STE 250,BLOOMFIELD HILLS MI 48304-5119,,16078116,0774973391
HR OFFC,1984,141316.0,2626 GLENWOOD AVE,RALEIGH,27608,"2626 GLENWOOD, LLC ",2900 HIGHWOODS BLVD STE 200,RALEIGH NC 27604-1036,,18089305,1705025607
DORMTY,1998,138234.0,301 E SOUTH ST,RALEIGH,27601,SHAW UNIVERSITY ,ATTN ACCOUNTS PAYABLE,118 E SOUTH ST,RALEIGH NC 27601-2341,23374293,1703864149
SCHOOL,1989,137650.0,1800 S MAIN ST,WAKE FOREST,27587,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,27861838,1830921694
OFC GROSS,1994,137608.0,7030 KIT CREEK RD,,27560,ARE 7030 KIT CREEK LLC ,RYAN LLC,PO BOX 847,CARLSBAD CA 92018-0847,26191019,0736862962
HR OFFC,1984,137472.0,4505 FALLS OF NEUSE RD,RALEIGH,27609,SOUTH SOMERSET LLC ,PO BOX 31763,RALEIGH NC 27622-1763,,17099648,1716414680
SCHOOL,1989,136430.0,2700 OLD MILBURNIE RD,KNIGHTDALE,27604,WAKE COUNTY ,SCOTT W WARREN,PO BOX 550,RALEIGH NC 27602-0550,23316640,1745757956
HR OFFC,2000,134064.0,8540 COLONNADE CENTER DR,RALEIGH,27615,FIRST-CITIZENS BANK & TRUST COMPANY ,100 E TRYON RD,RALEIGH NC 27603-3581,,24672483,1708412789
CHURCH,2001,133847.0,3805 TARHEEL CLUB RD,RALEIGH,27604,WAKE CHAPEL CHURCH INC ,3805 TARHEEL CLUB RD,RALEIGH NC 27604-9665,,36287951,1745176640
HR OFFC,1986,132268.0,1 COPLEY PKWY,MORRISVILLE,27560,CCP CONCOURSE LLC ,780 LYNNHAVEN PKWY STE 460,VIRGINIA BEACH VA 23452-7332,,16409525,0756392464
SCHOOL,2000,132166.0,625 MAGDALA PL,APEX,27502,SAINT MARY MAGDALENE CATHOLIC PARISH OF APEX ,625 MAGDALA PL,APEX NC 27502-6885,,38822799,0731782553
SCHOOL,1975,130697.0,8115 STRICKLAND RD,RALEIGH,27615,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,29291787,1708808370
OFC GROSS,1990,130422.0,1020 BIRCH RIDGE DR,RALEIGH,27610,NORTH CAROLINA STATE OF ,STATE PROPERTY OFFICE,116 W JONES ST,RALEIGH NC 27603-1335,16657398,1723437204
CHURCH,2004,129612.0,3227 BURLINGTON MILLS RD,WAKE FOREST,27587,RICHLAND CREEK COMMUNITY CHURCH ,3229 BURLINGTON MILLS RD,WAKE FOREST NC 27587-8866,,22940848,1749107837
HR OFFC,1985,129360.0,1 EXCHANGE PLZ,RALEIGH,27601,RALEIGH CITY OF ,222 W HARGETT ST,RALEIGH NC 27601-1316,,27116831,1703781166
SCHOOL,2004,128768.0,911 PARTNERS WAY,RALEIGH,27606,NORTH CAROLINA STATE OF ,STATE PROPERTY OFFICE,116 W JONES ST,RALEIGH NC 27603-1335,49983355,0793654965
OFC GROSS,1976,128000.0,3932 NEW HILL HOLLEMAN RD,,27562,NORTH CITY ASSOCIATES ,PO BOX 37996,CHARLOTTE NC 28237-7996,,20948325,0629210324
OFC GROSS,1988,127409.0,3720 LAKE WHEELER RD,,27603,NORTH CAROLINA STATE OF ,STATE PROPERTY OFFICE,116 W JONES ST,RALEIGH NC 27603-1335,133836072,0791273988
SCHOOL,1995,127215.0,7100 HILBURN DR,RALEIGH,27613,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,25376360,0787436507
CHURCH,2003,126233.0,6911 CARPENTER FIRE STATION RD,CARY,27519,THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF THE TRIAN ,801 CORPORATE CENTER DR STE 200,RALEIGH NC 27607-5243,,28949809,0735641399
OFC GROSS,1999,126125.0,6397 WESTON PKWY,CARY,27513,COTTON BOARD ,671 RIDGEWAY LOOP RD,MEMPHIS TN 28120,,49779765,0765362411
HR OFFC,1986,125370.0,300 SAS CAMPUS DR,CARY,27513,SAS INSTITUTE INC ,ATTN: ERIN SHARP,100 SAS CAMPUS DR,CARY NC 27513-2414,17093901,0775056792
