name,address,city,zip,phone,type,hood_hits,repeat,last_inspection,inspector_note
THE CURRY CLUB,3281 AVENT FERRY RD ,RALEIGH,27606,(919) 821-7991,1 - Restaurant,4,False,2026-07-14,ing evaporator inside two-door freezer. Cleaning needed on hood ventilation system over grill station. Non-food contact sur
LUCKY 7,906 NE MAYNARD RD ,CARY,27513,(919) 380-7550,1 - Restaurant,4,False,2026-08-04, throughout the kitchen; as well as the hood above the grill line had dust and grease; and food residues. Gaskets on the walk in cooler and reach
HABIBI GRILL,1007 METHOD RD ,RALEIGH,27606,(919) 986-1928,1 - Restaurant,4,False,2026-08-06,1(B) and (C); Core; Very heavy soot/ash build-up observed on hood ventilation system over open fire grill station.
#1 CHINA WOK,942 GATEWAY COMMONS CIR ,WAKE FOREST,27587,(919) 570-1688,1 - Restaurant,4,False,2026-08-12,Observation:  The hood has grease accumulation. The outside of the fryer and other equipment 
LAS CAROLINAS GROCERY   GRILL,4905 GUY RD ,CLAYTON,27520,(919) 359-0089,2 - Food Stands,4,False,2026-08-21,lean the shelves in the walk-in cooler. Clean the hood baffles to remove the accumulation of grease build-up. Clea
FU KEE EXPRESS,6320 CAPITAL BLV,RALEIGH,27616,(919) 872-2661,1 - Restaurant,3,True,2025-08-08,es.  6-501.12; Core - (REPEAT) Observed soiled/greasy ventilation hood interiors and filters; ceiling tiles; walls and floors in k
BB'S CRISPY CHICKEN,1147 PARKSIDE MAIN ST,CARY,27519,(984) 272-3500,1 - Restaurant,3,True,2025-10-08,ed with black residues and food debris. Exhaust panels were soiled with accumulations of grease and food debris. Nonfood-contact surfaces of equipment shal
LOWES FOODS #226 DELI,"8440 LOUISBURG ROAD, SUITE 110",RALEIGH,27616,(919) 266-1031,2 - Food Stands,3,True,2026-02-18,t and shelves and in corners. Some vent hood surfaces/filters were soiled and with grease accumulation; and deli mop sink/can wash faucet had signifi
JAMAICAN GRILLE,5500 ATLANTIC SPRINGS  RD ,RALEIGH,27616,(919) 873-0200,1 - Restaurant,3,True,2026-03-18,e.   6-501.12; Core - (REPEAT) Observed soiled vent hood filters; kitchen flooring (corners/under equipment and back
DUCK DONUTS,8323 CREEDMOOR ROAD,RALEIGH,27613,(609) 513-7559,1 - Restaurant,3,True,2026-03-30,4-601.11(C); Core; Observed dust buildup on the hood vents and fire suppression sprayers.  Also observed flour a
HILTON GARDEN INN RESTAURANT,6412 CAPITAL  BLVD ,RALEIGH,27616,(919) 876-5650,1 - Restaurant,3,True,2026-04-23,  6-501.12; Core - (REPEAT) Ventilation hood filters; kitchen walls; and ceiling tiles/light shields were soile
FOX ROAD ELEMENTARY CAFETERIA,7101 FOX RD,RALEIGH,27616-6353,(919) 850-8845,11 - Public School Lunch,3,True,2026-04-29,EAT) Small vent holes under ventilation hood had dust build-up; and a few ceiling light shields had accumulation of ins
JAPAN XO,7811 MIDDLE POYNER DR,RALEIGH,27616,(919) 916-5150,1 - Restaurant,3,True,2026-05-26, in corners; soiled kitchen walls; vent hood filters; and floor drains. Physical facilities shall be kept clean
BALI HAI,9650 STRICKLAND RD,RALEIGH,27615,(984) 242-4314,1 - Restaurant,3,True,2026-06-09,amination of foods observed. Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
FOOD LION #572 DELI,8320-120 LITCHFORD RD ,RALEIGH,27615-2464,(919) 790-8146,2 - Food Stands,3,True,2026-06-18, soiled flooring in deli walk-in units; soiled vent hood filters about deli cooking line and dusty ceiling vent grat
OLIVE GARDEN,4805 CAPITAL BLVD,RALEIGH,27616-4483,(919) 954-8557,1 - Restaurant,3,True,2026-06-29,s.   6-501.12; Core - (REPEAT) Observed soiled vent hood stacks above dish machine and some soiled flooring under eq
CHAI'S ASIAN BISTRO,8347 CREEDMOOR  RD ,RALEIGH,27613,(919) 341-3715,1 - Restaurant,3,True,2026-07-23,4-602.13; Core; Observed grease drip buildup and discoloration on the hood vents.  Non-food contact surfaces of equipment shall be cle
HIBACHI 88,8410 LOUISBURG RD ,RALEIGH,27616-5906,(919) 752-6288,1 - Restaurant,3,True,2026-07-27,6-501.12; Core - (REPEAT) Ventilation hood filters had large build-up of grease; and kitchen sink drain pipes; some walls and baseboards we
BURGER KING #6010,7300 CREEDMOOR RD ,RALEIGH,27613-1637,(919) 846-9002,1 - Restaurant,3,True,2026-08-14,4-601.11(C); Core; Observed significant grease buildup on hood vent inserts and surrounding metal components around the de
LECHON,5959 TRIANGLE TOWN BLVD ,RALEIGH,27616,(919) 793-9913,1 - Restaurant,3,True,2026-08-24,bathrooms was soiled. Cooking line vent hood filters were soiled with grease build-up and stacks/hood above dish machine had soil accumulation
HIBACHI 101,7870 ALEXANDER PROMENADE PL ,RALEIGH,27617,(919) 569-2888,1 - Restaurant,3,False,2025-04-30,nts and fans in the kitchen. Intake and exhaust air ducts shall be cleaned; and filters changed so they are not a source of contamin
FRESH INTERNATIONAL KITCHEN,10341 MONCREIFFE RD,RALEIGH,27617,(574) 302-2884,1 - Restaurant,3,False,2025-06-30,4-204.11; Core; An excessive amount of residue and grease buildup present on the hood above the cook line. Exhaust ventilation hood systems in fo
CHINA ONE,661 CARY TOWNE BLVD,CARY,27511-4219,(919) 461-0088,1 - Restaurant,3,False,2025-07-24,4-602.13 Nonfood Contact Surfaces  (C) Hood filters have grease build up. Nonfood contact surfaces shall be cleaned at a frequenc
EL DORADO MEXICAN RESTAURANT,2811 BRENTWOOD RD,RALEIGH,27604-3225,(919) 872-8440,1 - Restaurant,3,False,2025-10-09, equipment is in operation. Ventilation hood systems and devices shall prevent grease or condensation from collecting on EQUIPMENT; walls; and ce
WHOLE FOODS MARKET CAFE,3540 WADE AVE ,RALEIGH,27607-4048,(919) 828-5805,1 - Restaurant,3,False,2026-01-20,ut in need of cleaning. Oven; stove and hood vents in need of cleaning. Nonfood-contact surfaces of equipment shall be kept fre
WENDY'S,1000 AERIAL CENTER PKY ,MORRISVILLE,27513,(919) 481-3650,1 - Restaurant,3,False,2026-04-21,ood Contact Surfaces; and Utensils  (C) Exhaust vent panels on make-line fryer was soiled. Interior of reach-in freezer was soiled with food debris
ABBOTTS CREEK ELEMENTARY CAFETERIA,9900 DURANT RD ,RALEIGH,27614,(919) 694-0555,11 - Public School Lunch,3,False,2026-05-21,ore; Use of the steamer causes water to drip from water supply line as well as buildup in the hood and quickly fill overflow pan. Maintain equipment in good r
KENTUCKY FRIED CHICKEN,4040 CAPITAL BLVD ,RALEIGH,27604,(913) 469-1112,1 - Restaurant,3,False,2026-07-20,peed racks in the kitchen observed with grease accumulation and the hoods metal pipes for fire system has accumulation of grease.- K
TEXAS STEAKHOUSE AND SALOON,948 AIRPORT BLVD,MORRISVILLE,27560-9193,(919) 468-7194,1 - Restaurant,3,False,2026-07-28,with food and other residues. Panels on exhaust hood were soiled with accumulations of grease. Nonfood-contact surfaces shall be kept free of an accumula
SANGAM CAFE SATELLITE LOCATION,100 JERUSALEM DR,MORRISVILLE,27560,,2 - Food Stands,3,False,2026-07-30,ood Contact Surfaces; and Utensils  (C) Exhaust vent panels have accumulations of grease and food debris. Gaskets of coolers were soiled. Chest free
IPHO SUSHI KITCHEN   BAR,4001 WIDEWATERS PKY ,KNIGHTDALE,27545,(919) 266-8099,1 - Restaurant,3,False,2026-07-30,4-601.11(B) and (C); Core; Cleaning is needed on equipment throughout such as the hoods; handsinks; sides of cooking equipment; etc... Equipment n
PERI PERI BISTRO,8531 BRIER CREEK PKY ,RALEIGH,27617,(984) 244-7127,1 - Restaurant,3,False,2026-07-31,4-204.11; Core; Residue buildup present on the hood above the oven and grill; potentially leading to drip above
THE MASON JAR TAVERN,305 S MAIN ST ,FUQUAY-VARINA,27526,(919) 762-5555,1 - Restaurant,3,False,2026-08-03,led with dust and food residue buildup. Hood over cook line soiled with greasy buildup back of oven with flour buildup. Non-food contact surfaces shall be kept free of a buildu
J. ALEXANDER'S,4600 CRABTREE VALLEY AVE ,RALEIGH,27612,(984) 200-4493,1 - Restaurant,3,False,2026-08-11,ling tiles leading form the ventilation hood to the rear door entrance are coated with grease/vapor buildup;  6-501.12 Cleaning; Frequency and Restrictions  (C) Floo
FREDDY'S FROZEN CUSTARD   STEAKBURGERS #3207,221 GRAND HILL PL ,HOLLY SPRINGS,27540,(919) 557-3421,1 - Restaurant,2,True,2024-08-12,ir.; 6-501.12; Core; Walls; floors; and hood have grease build up behind fryers. Phsyical facilities shall be maintained a
BURGER KING #7810,7102 KNIGHTDALE BLVD ,KNIGHTDALE,27545,(252) 565-0516,1 - Restaurant,2,True,2025-01-10,re soiled/stained; and charbroiler vent hood fire suppression lines had black build-up. Sides/edges of toilet stall and bathroom doors were soi
HIBACHI 88,3416 POOLE RD ,RALEIGH,27610,(919) 231-1688,1 - Restaurant,2,True,2025-02-06,4-204.11 Ventilation Hood Systems; Drip Prevention  (C) Clean the vents on the hood to remove the grease build-up. This is a repeat item from t
BURGER KING #5719,3955 NEW BERN AVE ,RALEIGH,27610,(919) 231-6415,1 - Restaurant,2,True,2025-03-03,d and light shields and fryer area vent hood filters were soiled. Bathroom ceiling vents were dusty...Physical facilities 
SALEM MIDDLE SCHOOL CAFETERIA,6150 OLD JENKS RD ,APEX,27523,(919) 363-1870,11 - Public School Lunch,2,True,2025-03-18,ust and debris accumulation. Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
CHINA PEARL CHINESE RESTAURANT,2841 JONES FRANKLIN RD ,RALEIGH,27606,(919) 851-0358,1 - Restaurant,2,True,2025-04-09,containers soiled with residue buildup. Hood system caked with grease along sides and around filters. Nonfood-contact surfaces shall be kept free of a buildup 
FATBOYS KITCHEN,4511 NEW BERN  AVE ,RALEIGH,27610,(919) 900-8986,1 - Restaurant,2,True,2025-04-14,e soiled kitchen floors; walls and vent hood filters. Large amount of water was puddled on walk-in cooler floor
BA-DA WINGS,6300-108 CREEDMOOR RD ,RALEIGH,27612,(919) 322-1418,1 - Restaurant,2,True,2025-09-19,4-601.11(C); Core; Observed brown grease buildup on the hood vents and grease and dust buildup on the shelving throughou
THE DANKERY,2526 HILLSBOROUGH ST ,RALEIGH,27607-7266,(919) 698-1277,1 - Restaurant,2,True,2025-11-12,ntainer as outside is extremely soiled. Clean the hood vents above fryers and flat top. Clean the outside of all c
MR. KABAB,5950 POYNER VILLAGE PKWY,RALEIGH,27616,(919) 601-1183,1 - Restaurant,2,True,2026-02-09,es.  6-501.12; Core - (REPEAT) Observed soiled ventilation hood filters and some soiled flooring/corners...Physical facilit
KING CHEF,4644 CAPITAL BLVD ,RALEIGH,27604,(919) 876-5859,1 - Restaurant,2,True,2026-02-26,; and some walls were soiled. Some vent hood filters/surfaces had grease build-up; and several ceiling panels and were soiled/stained. Cei
HARRIS TEETER #236 - DELI,7145 O'KELLY CHAPEL RD ,CARY,27519,(919) 465-9432,2 - Food Stands,2,True,2026-03-02, Surfaces; and Utensils  (C) Right-side exhaust vent panels had accumulations of grease debris.  Non-food contact surfaces of equipment shall be cl
THE WILLOWS AT RALEIGH FOODSERVICE,2722 SPRING FOREST RD,RALEIGH,27616,(919) 863-7770,1 - Restaurant,2,True,2026-04-13,lk.  6-501.12; Core - (REPEAT) Observed soiled vent hood above dish machine areas and soiled walls/flooring under eq
WILDWOOD FOREST ELEM. SCH. CAFETERIA,8401 WILDWOOD FOREST DR ,RALEIGH,27616-5700,(919) 713-0600,11 - Public School Lunch,2,True,2026-04-27,er.  6-501.12; Core - (REPEAT) Observed dusty ventilation hood vent holes; and ceiling vent grate in bathroom. Flooring un
BRUEGGERS BAGELS #3698,2302  HILLSBOROUGH ST ,RALEIGH,27607,(919) 828-7105,1 - Restaurant,2,True,2026-05-08,ooking room.4-301.14; Core; Ventilation hood systems and devices shall prevent grease or condensation from collecting on EQUIPMENT; walls; and ce
CHARLEY'S PHILLY STEAKS # 789,5959 TRIANGLE TOWN  BLVD ,RALEIGH,27616,(919) 792-2206,2 - Food Stands,2,True,2026-05-20,ont and back kitchen areas. Ventilation hood filters above grill line was soiled. Trash; debris and dried food spills were on flooring of 
THE PICKLED ONION #3,8440 LOUISBURG  RD ,RALEIGH,27616,(919) 418-3411,1 - Restaurant,2,True,2026-05-27,  6-501.12; Core - (REPEAT) Ventilation hood filters above cooking line had grease/soil build-up. Physical facilities shall be kept clean. Increase clean
PANERA BREAD #1648,6123 CAPITAL BLVD ,RALEIGH,27616,(919) 865-1965,1 - Restaurant,2,True,2026-06-08,  6-501.12; Core - (REPEAT) Ventilation hoods above ovens and dish machine were soiled. Walls and pipes in dish washing area and front prep area
CRAB DU JOUR CAJUN SEAFOOD RESTAURANT   BAR,6320 PLANTATION CENTER DR,RALEIGH,27616,(919) 803-2016,1 - Restaurant,2,True,2026-07-24, corners; and floor drains. Ventilation hood filters had grease build-up. Physical facilities shall be maintained clean. Increase
QUE PASHOO/ MARISCOS - BAR - GRILL,1428  GARNER STATION BLVD ,RALEIGH,27603,(919) 615-4347,1 - Restaurant,2,True,2026-08-19,.    6-501.12; Core - (REPEAT) Observed soiled vent hood and filters; soiled/stained ceiling light shields and dusty
CHINA WOK,7440-143 LOUISBURG RD ,RALEIGH,27616,(919) 862-9898,1 - Restaurant,2,True,2026-08-27,floor drains; pipes; walls; ventilation hood filters; and ceiling light shields. Physical facilities shall be k
CHILI'S #1393,11380 CAPITAL  BLVD ,WAKE FOREST,27587,(919) 554-0488,1 - Restaurant,2,False,2024-12-16,4-501.11; Core; Above active cook top; hood filter panels are missing. Walk-in cooler door not self-closing/se
LOWES FOODS #185 DELI,1845 AVERSBORO RD ,GARNER,27529,(919) 779-9907,1 - Restaurant,2,False,2025-02-10,p table.  Also noted an accumulation of grease build-up along the hood baffles above the deep fryer units. Food contact surfaces o
ZAXBY'S #66201,1341 N MAIN ST ,FUQUAY-VARINA,27526,(919) 552-3981,1 - Restaurant,2,False,2025-02-25,Ceiling vents need cleaning. Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
NOODLES   COMPANY,200 CROSSROADS  BLVD ,CARY,27518,(919) 851-5080,1 - Restaurant,2,False,2025-05-08,ly soiled with grease and dust buildup. Hood system has grease accumulation. Some walk-in cooler shelving and inside reach
LOWES FOODS #207 DELI,112 BASS LAKE RD,HOLLY SPRINGS,27540,(919) 577-6971,2 - Food Stands,2,False,2025-05-27,on and around ceiling vents. Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
LA TERRAZA,2217 AVENT FERRY RD ,RALEIGH,27606,(919) 832-0293,1 - Restaurant,2,False,2025-08-12,f soil residues. Fryers; stove tops and hood vent systems on grill line need thorough cleaning; especially the fryers. 
DAN SUSHI HIBACHI,1313 N MAIN ST ,FUQUAY-VARINA,27526,(919) 577-8000,1 - Restaurant,2,False,2025-09-03,6-501.12; Core; Cleaning needed walls next to hood in back. Facilities shall be cleaned as often as necessary 
THE RESERVE AT MILLS FARM,1000 MILLS CHASE LOOP,APEX,27523,(919) 809-5310,1 - Restaurant,2,False,2025-09-05,ire suppression system pipe lines under hood system are soiled with grease and build up. Keep non food contact surfaces of  equipment clean to a
SHEEBA RESTAURANT,3933 WESTERN BLVD ,RALEIGH,27606,(919) 703-0004,1 - Restaurant,2,False,2025-10-08, of soil residues. Thick layer of black grease build-up observed on hood ventilation system. Significant food debris/residue noted o
RED LOBSTER,4408 OLD WAKE FOREST RD ,RALEIGH,27609-6233,(919) 872-5608,1 - Restaurant,2,False,2025-10-20,main prep line and the top of the grill hood/lights have buildup and need to be cleaned. Physical facilities shall be maintained in a state of go
TASTE VIETNAMESE CUISINE,152 MORRISVILLE SQUARE WAY ,MORRISVILLE,27560,(919) 234-6385,1 - Restaurant,2,False,2025-10-27,led with accumulation; dust and debris. Grease build up is present on hood filters and panels. All exterior surfaces of frying/cooking
BUENA PAPA FRY BAR @ MSFH,411 W MORGAN STREET,RALEIGH,27603,(919) 637-8557,2 - Food Stands,2,False,2025-10-31,ing on the prep table and not under the hood system is getting the ceiling HVAC vent cover and duct work very dusty and greasy. Move the cooking oven to under the hood system
MIKE'S PIZZA   ITALIAN RESTAURANT,3919 NEW BERN AVE ,RALEIGH,27610,(919) 250-0700,1 - Restaurant,2,False,2025-11-21,4-601.11 (B) and (C); Core; Detailed cleaning is still needed on some equipment throughout such as hoods; shelving; and cooking equipment.- Equipment nonfood conta
SAKURA 8,2634 TIMBER DR ,GARNER,27529,(984) 233-5100,1 - Restaurant,2,False,2025-11-25,aning is needed throughout the kitchen. Clean the hood baffles above the cookline to remove he grease build-up. Cl
HIBACHI   COMPANY,2316 HILLSBOROUGH ST,RALEIGH,27607,(919) 301-8888,1 - Restaurant,2,False,2025-12-01,ezer. Clean inside hot holding cabinet. Clean the outside of the hood where grease is accumulated. Keep non food contact surfaces
COCO BONGO,2400 HILLSBOROUGH ST ,RALEIGH,27607,(984) 242-0898,1 - Restaurant,2,False,2025-12-03,eaning needed of shelves; reach ins and hood filters. Non food contact surfaces of equipment shall be cleaned f
HARDEE'S #1206,5601 CREEDMOOR RD ,RALEIGH,27612,(919) 781-4332,1 - Restaurant,2,False,2025-12-08,Observation: The grease catch pan on the hood system is missing allowing drip onto the hot holder; The re
EL DORADO #8,8111 CREEDMOOR RD ,RALEIGH,27613-4389,(919) 848-0788,1 - Restaurant,2,False,2025-12-12,4-602.13; Core; Observed food debris buildup in the lower section of a prep cooler and grease buildup on the hood vent inserts over the flattop griddle.  Nonfood-contact sur
NEW CHINA,949 N HARRISON AVE ,CARY,27513,(919) 380-9328,1 - Restaurant,2,False,2026-01-06,the grill line was heavily soiled.  The hoods above the grill line were heavily soiled.  Floors; walls; ceilings including the attachments such 
PUBLIX 1551 DELI,9640 LEESVILLE RD ,RALEIGH,27613,(919) 848-3480,1 - Restaurant,2,False,2026-01-08,4-601.11 (B) and (C); Core; Grease deposits present on hood vents above the oven/fryers and grease buildup present on e
SASSOOL,1347 KILDAIRE FARM RD ,CARY,27511,(919) 300-5586,1 - Restaurant,2,False,2026-01-21,needs dust build-up cleaned. Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
THE FRESH MARKET DELI,6325 FALLS OF NEUSE  RD ,RALEIGH,27615,(919) 872-8501,2 - Food Stands,2,False,2026-01-28,4-601.11(C ); Core; The hood vents have a buildup of dust (scheduled for cleaning in February); the fanguard in the CMS prep room has a bu
FOOD LION #2638 DELI/BAKERY,6209 ROCK QUARRY RD ,RALEIGH,27610,(919) 772-5894,2 - Food Stands,2,False,2026-03-06,ld up in the men's restroom. Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
BROOKLYN PICKLE,4025 LAKE BOONE TRL,RALEIGH,27607,(919) 925-3400,1 - Restaurant,2,False,2026-03-18,Observation: Vent ducts (exhaust/intake) heavily covered with dust and debris; Floor areas under equipment and floor drains ar
RALEIGH CRABTREE MARRIOTT FOODSERVICE,4500 MARRIOTT DR ,RALEIGH,27612-3365,(919) 781-7000,1 - Restaurant,2,False,2026-03-26,Ventilation Hood Systems; Adequacy  (C) Hood systems and devices shall be in sufficient number and capacity to prevent grease or condensation from collecting on equipment; walls; and ce
EVEREST NEPALI KITCHEN,212 GRANDE HEIGHTS DR ,CARY,27513,(919) 378-9390,1 - Restaurant,2,False,2026-03-30,ove and fryer were heavily soiled.  The hood filters over the grill line is heavily soiled with grease and dust.  The liners on the shelves are heavily soiled.  Roach dust
BBASAK HAN,2237 AVENT FERRY RD ,RALEIGH,27606,(919) 703-0088,1 - Restaurant,2,False,2026-04-10, cleaning needed inside reach-in units. Build-up observed on hood vent system. No points taken due to improvement.
PHOENIX ASSISTED CARE LLC KITCHEN,201 WESTHIGH ST ,CARY,27513,(919) 460-8644,16 - Institutional Food Service,2,False,2026-04-13,der the grill and fryer is soiled.  The hood and pipes above the grill line has a build up of grease and dust.  The shelf and AC unit above the clean side of the dish ma
LOWES FOODS #184 (DELI),5400 APEX PEAKWAY ,APEX,27502,(919) 363-5376,1 - Restaurant,2,False,2026-04-16,od display cases and door tracks. Heavy grease build up on hood filter panels. The nonfood-contact surfaces of equipment sh
WAKE FOREST MIDDLE CAFETERIA,1800 S MAIN ST ,WAKE FOREST,27587-9288,(919) 554-8440,11 - Public School Lunch,2,False,2026-05-04,Observation: Hood has dust building up on it. Debris is building up below racks in storage r
THE EMPANADA FACTORY,2010 S. MAIN ST ,WAKE FOREST,27587,,1 - Restaurant,2,False,2026-05-07,Observation:  The hood has dust and grease build up. The grrease trap has a strong smell and needs to be cle
HONG KONG CHINESE KITCHEN,5563 WESTERN  BLVD ,RALEIGH,27606,(919) 851-1505,1 - Restaurant,2,False,2026-05-08,preclude accumulation of soil residues. Grease build-up on hood ventilation system above grill line. Cleaning needed inside
BELLA ITALIA PIZZERIA,109 CAPCOM AVENUE,WAKE FOREST,27587,(919) 554-9404,1 - Restaurant,2,False,2026-05-12, table in BOH has food residue present. Cleaning is needed on hood filters to remove the accumulated residue. Physical facilit
ASIA EXPRESS,1040-128 FORESTVILLE RD ,WAKE FOREST,27587,(919) 562-8988,1 - Restaurant,2,False,2026-05-21,leaning to remove the microbial growth. Hood filters need cleaning to remove the grease buildup. Non food-contact surfaces of equipment shall be cleaned 
CLEVELAND DRAFT HOUSE,1420 E BROAD ST,FUQUAY-VARINA,27526,(919) 659-5500,1 - Restaurant,2,False,2026-05-27,ease and food residue buildup. Soot and grease accumulation observed on hood ventilation system. Exterior surface of large ice machine w
SEOUL GARDEN,4701-131 ATLANTIC AVE,RALEIGH,27604,(919) 850-9984,1 - Restaurant,2,False,2026-06-25,idues. - Observed heavy accumulation on hood stacks - Observed black stain on the 3-comp sink caulk Discussed the cleaning schedule in these areas with the PIC.
D.P. DOUGH,2109 AVENT FERRY RD ,RALEIGH,27606,(919) 829-1525,1 - Restaurant,2,False,2026-07-08,ebris collecting inside reach-in units. Dust observed on hood vent system above pizza oven. Gaskets in all reach-in units
BELLINI ITALIAN CUISINE,7256 GB ALFORD HWY,HOLLY SPRINGS,27540,(919) 552-0303,1 - Restaurant,2,False,2026-07-22,und ceiling vent in kitchen. Intake and exhaust air ducts shall be cleaned and filters changed so they are not a source of contamination by dust;
COOK OUT #25,3930 WESTERN BLV ,RALEIGH,27606,(919) 821-2926,1 - Restaurant,2,False,2026-07-27,ior and interior surfaces of equipment. Hood ventilation system with minor grease build-up visible.
KENTUCKY FRIED CHICKEN,12313 CAPITAL  BLVD ,WAKE FOREST,27587,(913) 469-1112,1 - Restaurant,2,False,2026-08-10,Observation:  The hood has encrusted grease deposits stuck on removable racks. The ceiling vents dust b
CHARLIE'S KABOBS #2,929 HERITAGE LAKE  RD ,WAKE FOREST,27587,(919) 453-6284,1 - Restaurant,2,False,2026-08-12,4-602.13; Core; Hood filters are in need of cleaning to remove the thick grease accumulation. PIC stated that the hood filters are professi
LA FARM BAKERY,404 E SIX FORKS RD,RALEIGH,27609,,1 - Restaurant,2,False,2026-08-24,s stored exposed under the gas pipe and dusty hood stack; the gas pipe has drip stains. CDI - The take-out box
EL RODEO RESTAURANT,2404 WAKE FOREST RD,RALEIGH,27608-1710,(919) 833-1460,1 - Restaurant,1,True,2024-08-01,6-501.12; Core; Vent hood above cooking line was soiled with grease build-up. Some ceiling vents were dusty/soiled...Physical facilit
CHINA QUEEN,2233-103 AVENT FERRY RD ,RALEIGH,27606,(919) 832-8882,1 - Restaurant,1,True,2024-09-19,er towel dispenser at handwashing sink. Grease accumulation on hood vent system. Nonfood-contact surfaces of equipment shall be
PAPA'S SUBS   PIZZA,511 N MAIN ST ,HOLLY SPRINGS,27540,,1 - Restaurant,1,True,2024-11-18,eaning; Frequency and Restrictions  (C) Grease build up on hood filters and behind cooking equipment. Physical facilities s
TARGET CAFE,100 GRAND HILL  PL ,HOLLY SPRINGS,27540,(919) 557-2686,2 - Food Stands,1,True,2024-12-03,4-602.13 Nonfood Contact Surfaces  (C) Hood vents observed with heavy dust accumulation. Shelving in walk in cooler observed with dust
SUVIDHA,3735  DAVIS DR ,MORRISVILLE,27560,(919) 650-1436,2 - Food Stands,1,True,2024-12-11,freezers; sides of make-line units; and exhaust hood had accumulations of food debris and grease. Nonfood-contact surfaces of equipment shall be kept free o
LOS TRES MAGUEYES,995 AIRPORT BLVD ,MORRISVILLE,27560,(919) 465-0217,1 - Restaurant,1,True,2025-01-09,ct Surfaces; and Utensils  (C) Observed grease buildup and condensation on the hood vent inserts above the griddle . Nonfood-contact surfaces o
WILBURN ELEMENTARY CAFETERIA,3707 MARSH CREEK RD ,RALEIGH,27604,(919) 850-8738,11 - Public School Lunch,1,True,2025-01-30,t facility were dusty/soiled; some vent hood filters and fan guards in walk-in cooler were dusty; and wall surfaces in mop sink/can was room were soiled...
STOP   QUICK,1321 S BLOUNT ST,RALEIGH,27601,(919) 833-8200,2 - Food Stands,1,True,2025-02-10,t with dust/residue accumulation. Fryer hood filters with residue accumulation. NonFOOD-CONTACT SURFACES of EQUIPMENT shall b
COOK OUT #297,1151 N SMITHFIELD RD ,KNIGHTDALE,27545,(919) 618-8532,1 - Restaurant,1,True,2025-02-10,12; Core - (REPEAT) Several ventilation hood filters were very dark and soiled. Walk-in freezer floor had ice build-up in various places
